minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Humidity,Temperature
1,excellent,2.567112357,22.86,41.24,29.56,14.83,49.38,11.1,2.21,32.09,14.29,55.1,34.6
2,excellent,2.567112357,22.75,41.5,29.72,14.83,49.38,11.23,2.23,31.92,14.58,55.1,34.6
3,excellent,2.567112357,22.75,41.5,29.72,14.83,49.38,11.28,2.22,34.31,14.4,55.1,34.6
4,excellent,2.567112357,22.86,42.56,29.56,14.77,49.38,11.46,2.22,34.12,14.64,55.4,34.5
5,excellent,2.567112357,23.07,42.03,29.56,14.83,49.38,11.46,2.22,33.93,14.58,55.4,34.4
6,excellent,2.567112357,23.18,41.24,29.41,14.77,47.84,11.5,2.21,32.63,14.64,55.4,34.4
7,excellent,2.567112357,23.07,41.24,28.96,14.77,48.22,11.46,2.21,32.09,14.64,55.4,34.4
8,excellent,2.567112357,23.28,41.24,28.96,14.71,48.98,11.46,2.22,33.17,14.76,55.4,34.4
9,excellent,2.567112357,22.96,40.99,29.26,14.77,48.22,11.19,2.19,32.45,14.34,55.4,34.5
10,excellent,2.567112357,23.07,40.99,29.11,14.71,48.22,11.23,2.22,32.09,14.23,55.4,34.5
11,excellent,2.567112357,22.75,41.76,29.56,14.83,48.6,11.06,2.21,31.92,14.46,55.8,34.5
12,excellent,2.567112357,22.96,41.24,29.26,14.71,48.98,11.01,2.23,31.74,14.58,55.8,34.5
13,excellent,2.567112357,23.18,41.5,29.26,14.71,48.98,11.19,2.21,32.27,14.7,55.8,34.4
14,excellent,2.567112357,23.07,42.03,29.11,14.77,48.98,11.06,2.21,31.92,14.52,55.8,34.4
15,excellent,2.567112357,22.96,41.76,29.87,14.83,48.98,10.63,2.21,31.4,14.58,55.8,34.4
16,excellent,2.567112357,23.39,42.29,29.87,14.95,48.22,11.01,2.19,30.9,14.76,55.8,34.3
17,excellent,2.567112357,23.18,42.29,29.87,14.77,48.6,10.97,2.21,30.57,14.52,55.8,34.3
18,excellent,2.567112357,23.5,41.5,29.41,14.71,49.77,10.84,2.21,30.57,14.76,55.8,34.2
19,excellent,2.567112357,23.18,42.03,29.87,14.83,49.38,10.55,2.21,30.41,14.82,55.8,34.2
20,excellent,2.567112357,23.39,42.56,29.87,14.83,49.38,10.72,2.19,30.25,14.58,55.8,34.2
21,excellent,2.567112357,23.61,41.5,29.56,14.71,48.98,10.76,2.19,30.25,14.82,55.8,34.1
22,excellent,2.567112357,23.61,41.76,29.41,14.71,48.98,10.93,2.21,31.57,14.7,56.2,34.1
23,excellent,2.567112357,23.5,41.76,29.56,14.71,48.98,11.15,2.19,30.9,14.82,56.2,34.1
24,excellent,2.567112357,23.61,41.5,29.72,14.83,49.38,11.28,2.19,30.41,14.82,56.2,34.1
25,excellent,2.567112357,23.72,41.24,29.56,14.71,48.98,11.37,2.21,29.93,14.82,56.2,34.1
26,excellent,2.567112357,23.39,41.24,29.87,14.71,48.22,11.46,2.19,29.46,14.94,56.2,34.1
27,excellent,2.567112357,23.61,41.24,29.41,14.77,48.98,11.41,2.21,33.74,14.88,56.2,34
28,excellent,2.567112357,25.85,38.33,28.09,14.83,47.84,8.61,2.19,32.45,15.75,56.2,33.9
29,excellent,2.567112357,25.85,37.65,28.23,14.95,47.84,8.24,2.21,33.36,15.95,56.2,34
30,excellent,2.567112357,26.1,37.88,27.81,14.83,48.6,8.24,2.21,32.99,16.08,56.2,34
31,excellent,2.567112357,25.85,37.88,28.09,14.95,48.22,7.18,2.19,32.63,15.88,56.2,34.1
32,excellent,2.567112357,25.72,37.88,27.95,14.89,48.22,7.5,2.21,32.81,16.08,56.2,34.1
33,excellent,2.567112357,25.85,38.1,27.95,14.83,47.47,7.56,2.19,32.27,15.88,56.2,34.1
34,excellent,2.567112357,25.85,37.88,27.81,14.89,47.84,6.87,2.19,32.81,15.88,56.2,34.1
35,excellent,2.567112357,26.1,37.88,27.67,14.77,48.98,7.47,2.19,32.45,15.56,56.2,34.2
36,excellent,2.567112357,26.1,37.65,27.67,14.83,48.98,7.65,2.19,32.45,15.69,56.2,34.1
37,excellent,2.567112357,25.85,37.88,27.67,14.89,48.6,7.86,2.21,32.63,15.56,56.2,34.1
38,excellent,2.567112357,25.85,37.43,27.67,14.89,48.6,7.53,2.21,32.63,15.69,56.2,34.1
39,excellent,2.567112357,25.85,37.43,27.53,14.89,48.6,7.44,2.19,32.81,15.88,56.2,34.1
40,excellent,2.567112357,25.72,37.65,27.53,14.83,47.84,7.47,2.21,32.81,15.5,56.2,34.1
41,excellent,2.567112357,26.1,36.99,27.25,14.77,48.22,7.15,2.21,32.27,15.43,56.2,34.1
42,excellent,2.567112357,25.85,37.65,27.53,14.89,47.84,7.12,2.19,32.45,15.88,56.2,34.1
43,excellent,2.567112357,25.72,37.43,27.53,14.83,48.6,7.18,2.18,32.09,15.56,56.2,34.1
44,excellent,2.567112357,25.97,37.21,27.25,14.77,47.47,7.38,2.21,32.81,15.95,56.2,34.1
45,excellent,2.567112357,26.1,36.57,27.12,14.77,48.6,7.29,2.19,32.63,15.5,56.2,34.1
46,excellent,2.567112357,25.85,37.21,27.25,14.83,48.6,7.53,2.19,32.45,15.31,56.2,34.1
47,excellent,2.567112357,26.1,36.35,27.12,14.71,48.6,6.84,2.18,32.63,15.62,56.2,34.1
48,excellent,2.567112357,25.72,36.57,27.25,14.71,47.47,7.41,2.19,32.27,15.56,56.2,34.1
49,excellent,2.567112357,25.72,36.78,27.12,14.36,49.38,7.38,2.18,32.09,15.56,56.5,34.1
50,excellent,2.567112357,26.1,36.14,27.12,14.71,48.22,7.23,2.19,32.45,15.75,56.5,33.9
51,excellent,2.567112357,25.72,36.57,27.39,14.83,48.6,7.06,2.18,32.45,15.62,56.5,34
52,excellent,2.567112357,26.1,36.57,27.12,14.83,48.6,7.29,2.19,32.45,15.25,56.5,33.9
53,excellent,2.567112357,25.6,36.35,27.95,14.71,48.6,7.56,2.19,32.09,15.75,56.5,33.9
54,excellent,2.567112357,24.29,33.4,26.2,14.47,41.54,6.79,2.24,30.57,14.94,56.5,33.9
55,excellent,2.567112357,24.29,33.4,26.07,14.53,41.25,6.81,2.23,30.73,15.31,56.5,33.9
56,excellent,2.567112357,24.17,32.85,26.07,14.53,41.25,6.76,2.23,30.41,14.76,56.5,33.9
57,excellent,2.567112357,24.17,33.21,26.07,14.53,41.83,6.79,2.23,30.25,14.88,56.5,33.9
58,excellent,2.567112357,23.95,33.03,26.2,14.59,41.54,6.76,2.23,30.25,15.25,56.5,33.9
59,excellent,2.567112357,23.95,32.32,25.82,14.36,40.96,6.68,2.22,30.09,15.18,56.5,33.8
60,excellent,2.567112357,23.72,32.32,26.2,14.42,40.96,6.6,2.23,30.41,15.25,56.5,33.9
61,excellent,2.649967492,23.72,32.67,26.07,14.53,41.83,6.52,2.24,31.4,15.18,56.5,33.8
62,excellent,2.649967492,23.95,32.49,26.07,14.53,41.83,6.7,2.24,30.25,14.7,56.5,33.8
63,excellent,2.649967492,23.61,33.03,26.46,14.59,41.83,6.68,2.24,30.09,15.06,56.5,33.8
64,excellent,2.649967492,23.72,33.21,26.46,14.65,41.83,6.7,2.24,30.41,15.18,56.5,33.8
65,excellent,2.649967492,23.61,32.14,25.82,14.36,40.96,6.7,2.22,30.57,15,56.5,33.8
