minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ8,MQ9,Temperature,Humidity
1,excellent,2.23268,24.06,19.75,41.54,19.34,39.83,38.89,32.94,40.54,13.24,30,60.9
2,excellent,2.23268,23.95,20.01,41.8,19.18,39.02,39.13,38.73,38.59,12.98,29.9,61.8
3,excellent,2.23268,24.29,19.83,40.03,18.93,40.67,38.18,29.82,41.05,12.77,29.8,62.7
4,excellent,2.23268,24.06,20.01,42.07,18.76,40.39,38.65,29.82,47.48,13.13,29.7,63.5
5,excellent,2.23268,24.75,19.75,41.54,18.76,47.1,36.38,30,42.38,12.67,29.7,64.1
6,excellent,2.23268,24.63,19.57,41.28,18.84,38.24,39.87,38.46,40.04,13.24,29.6,64.8
7,excellent,2.23268,24.29,19.66,40.27,18.84,39.83,37.95,28.27,39.3,13.08,29.6,65.4
8,excellent,2.23268,24.99,19.57,41.28,18.76,40.39,37.95,29.64,40.04,13.13,29.6,66
9,excellent,2.23268,25.23,19.49,41.8,18.36,41.83,38.18,34.47,40.04,13.13,29.5,66.4
10,excellent,2.23268,25.11,20.46,39.78,18.44,41.25,37.95,35.88,39.55,13.29,29.6,66.9
11,excellent,2.23268,24.52,19.49,45.76,18.44,40.11,38.89,38.18,39.3,13.29,29.5,67.2
12,excellent,2.23268,23.39,19.57,39.54,18.52,39.29,38.89,36.88,40.54,12.98,29.5,67.6
13,excellent,2.23268,23.95,19.32,40.03,18.2,40.67,38.89,30.18,39.55,13.45,29.5,68
14,excellent,2.23268,23.5,20.73,40.52,18.36,39.29,38.41,36.62,40.04,13.03,29.5,68.4
15,excellent,2.23268,24.06,20.55,40.52,18.13,37.98,42.52,41.98,39.79,13.34,29.5,68.8
16,excellent,2.23268,23.83,19.24,39.78,18.2,42.13,37.26,41.35,40.29,13.4,29.5,69.1
17,excellent,2.23268,23.61,19.32,40.03,18.13,40.39,38.89,31.32,42.94,13.4,29.5,69.4
18,excellent,2.23268,23.28,19.24,39.78,18.05,39.56,37.95,30.18,43.22,13.13,29.5,69.7
19,excellent,2.23268,22.96,19.24,39.78,17.89,40.67,38.41,34.47,39.55,13.24,29.5,70
20,excellent,2.23268,23.95,19.32,38.83,17.97,39.83,38.41,28.27,37.22,12.77,29.5,70.1
21,excellent,2.23268,23.39,18.99,39.07,17.89,39.83,38.65,37.13,39.79,12.92,29.5,70.3
22,excellent,2.23268,24.17,18.99,37.25,17.74,40.96,38.65,36.37,39.3,13.29,29.6,70.7
23,excellent,2.23268,23.83,19.07,39.07,17.82,39.83,38.65,29.11,39.55,12.98,29.6,71
24,excellent,2.23268,23.5,19.32,40.03,17.67,40.39,37.95,30.55,39.79,13.08,29.6,71.2
25,excellent,2.23268,23.83,18.9,38.37,17.89,39.83,39.13,36.37,39.3,13.03,29.6,71.5
26,excellent,2.23268,23.5,18.82,36.6,17.59,39.29,38.18,29.82,39.3,13.29,29.6,71.6
27,excellent,2.23268,23.28,19.07,36.82,17.74,40.11,38.41,40.15,37.9,13.08,29.6,71.9
28,excellent,2.23268,22.96,19.15,42.6,17.74,40.39,38.89,29.46,40.29,11.75,29.6,72
29,excellent,2.23268,23.07,19.15,35.77,17.67,40.39,38.65,30.37,39.3,12.67,29.6,72.3
30,excellent,2.23268,23.39,20.27,38.83,17.59,39.29,38.65,34.25,42.66,12.57,29.7,72.5
31,excellent,2.23268,23.28,20.19,37.69,17.37,40.39,38.41,36.62,39.79,12.67,29.7,72.7
32,excellent,2.23268,22.96,18.74,37.69,17.52,37.23,36.82,28.77,39.55,12.72,29.7,72.9
33,excellent,2.23268,22.96,20.27,35.56,17.44,40.67,37.04,29.82,39.79,12.77,29.7,73.1
34,excellent,2.23268,22.86,18.58,37.91,17.3,41.83,37.95,39.29,40.29,12.67,29.7,73.3
35,excellent,2.23268,22.65,18.82,37.91,17.37,39.56,38.18,37.39,37.44,12.82,29.7,73.5
36,excellent,2.23268,22.54,18.9,36.6,17.44,39.29,38.65,30.37,46.83,12.72,29.7,73.6
37,excellent,2.23268,23.18,18.66,38.14,17.3,39.56,38.89,35.16,44.96,12.57,29.8,74.1
38,excellent,2.23268,22.75,18.58,36.6,17.3,39.02,38.65,38.46,51.34,13.03,29.8,74.3
39,excellent,2.23268,23.18,18.42,37.25,17.15,39.56,37.95,33.36,43.22,12.92,29.8,74.4
40,excellent,2.23268,22.86,18.42,36.18,17.22,39.29,37.95,30.55,40.29,13.13,29.8,74.5
41,excellent,2.23268,23.18,18.42,37.25,17.08,43.05,37.49,29.82,41.32,12.98,29.8,74.6
42,excellent,2.23268,23.07,18.34,35.77,17.08,40.11,37.49,31.12,39.3,13.18,29.8,74.7
43,excellent,2.23268,23.07,18.58,35.77,17.3,38.76,37.26,29.46,39.79,12.77,29.9,75
44,excellent,2.23268,22.86,18.26,34.37,17.15,39.83,38.18,30,39.55,12.87,29.9,75.1
45,excellent,2.23268,23.39,18.11,36.18,16.79,40.11,37.72,36.37,40.29,12.67,29.9,75.2
46,excellent,2.23268,23.07,18.5,35.16,16.93,40.11,37.04,31.12,39.79,13.18,29.9,75.3
47,excellent,2.23268,23.28,18.34,34.76,17.01,38.24,42.52,29.82,39.55,13.08,29.9,75.4
48,excellent,2.23268,23.18,17.96,35.16,16.93,38.76,37.95,28.94,40.04,13.18,29.9,75.6
49,excellent,2.23268,22.65,18.11,34.18,17.08,38.76,38.41,33.58,39.3,11.62,30,75.8
50,excellent,2.23268,23.18,18.19,34.76,16.79,39.56,37.72,36.88,39.3,13.08,30,75.9
51,excellent,2.23268,22.75,17.88,34.18,17.01,39.29,37.72,30.18,39.3,12.87,30,76
52,excellent,2.23268,23.18,17.88,33.99,16.86,39.56,37.72,32.31,39.3,12.42,30,76.1
53,excellent,2.23268,22.86,17.8,33.62,16.79,39.02,36.82,38.73,37.44,12.82,30,76.2
54,excellent,2.23268,22.54,17.8,33.43,16.93,38.76,37.72,37.13,37.44,12.98,30,76.3
55,excellent,2.23268,22.65,17.73,32.7,16.86,39.02,38.41,35.16,41.05,12.62,30.1,76.4
56,excellent,2.23268,22.86,17.65,33.43,16.72,39.29,37.95,41.05,40.54,12.57,30.1,76.5
57,excellent,2.23268,22.65,17.21,32.53,16.72,38.5,37.49,30,43.5,13.13,30.1,76.7
58,excellent,2.23268,22.34,17.5,32.7,16.86,38.24,37.95,34.02,43.78,12.52,30.1,76.7
59,excellent,2.23268,22.75,17.21,32.7,16.65,40.11,37.04,42.29,41.58,12.87,30.1,76.8
60,excellent,2.23268,22.54,17.21,31.83,16.65,38.24,37.95,34.25,41.84,12.82,30.2,77
61,excellent,2.38926,22.65,17.28,31.66,16.65,38.5,38.18,33.36,41.32,12.82,30.2,77
62,excellent,2.38926,22.65,17.14,32.18,16.51,38.76,36.6,30.18,42.94,12.72,30.2,77.1
63,excellent,2.38926,22.24,17.36,30.99,16.58,39.29,37.72,30.37,42.94,12.67,30.2,77.1
64,excellent,2.38926,22.24,17.14,30.99,16.58,40.11,38.18,41.35,42.66,12.82,30.2,77.3
65,excellent,2.38926,22.44,16.85,30.99,16.44,39.29,37.04,31.91,41.05,12.92,30.2,77.3
66,excellent,2.38926,22.14,16.78,30.03,16.44,39.02,38.65,40.15,45.88,12.82,30.2,77.4
67,excellent,2.38926,22.14,17,30.5,16.51,37.73,37.72,41.66,44.07,12.62,30.2,77.4
68,excellent,2.38926,22.14,16.85,30.18,16.31,37.48,37.26,30.37,44.96,12.37,30.3,77.6
69,excellent,2.38926,21.93,16.85,29.87,16.38,38.24,37.04,30,43.22,12.57,30.3,77.7
70,excellent,2.38926,21.74,16.44,29.87,16.31,38.5,37.49,28.6,44.07,12.37,30.3,77.8
71,excellent,2.38926,22.44,16.44,29.72,16.24,38.76,37.04,37.13,44.37,12.52,30.3,77.9
72,excellent,2.38926,22.14,16.44,29.11,16.31,38.5,37.26,36.37,42.94,12.67,30.4,78.1
73,excellent,2.38926,21.64,16.23,28.81,16.58,38.5,36.82,33.58,40.29,12.57,30.4,78.1
74,excellent,2.38926,21.64,16.23,28.81,16.17,39.02,37.04,33.15,42.38,12.77,30.4,78.3
75,excellent,2.38926,21.64,16.03,29.26,16.17,38.5,37.49,28.77,42.66,11.62,30.4,78.3
76,excellent,2.38926,21.44,15.9,28.96,16.11,38.24,37.26,31.12,42.94,12.67,30.4,78.3
77,excellent,2.38926,21.35,16.03,30.18,16.17,39.02,37.26,37.92,42.11,12.62,30.4,78.4
78,excellent,2.38926,21.35,15.97,28.66,16.31,37.73,38.41,33.36,42.38,12.52,30.5,78.5
79,excellent,2.38926,21.54,15.71,32.53,16.11,38.24,36.82,30.37,41.58,12.67,30.5,78.6
80,excellent,2.38926,21.54,15.58,26.85,16.04,38.5,36.82,30.37,42.11,12.67,30.5,78.6
81,excellent,2.38926,21.25,15.58,27.95,16.17,45.34,37.26,41.35,42.94,12.62,30.5,78.6
82,excellent,2.38926,21.16,15.45,27.95,16.17,37.98,37.04,36.88,42.38,12.87,30.5,78.7
83,excellent,2.38926,20.97,15.45,27.53,16.11,37.23,38.89,35.16,40.8,12.87,30.5,78.7
84,excellent,2.38926,21.16,15.84,28.09,16.04,37.98,37.04,35.88,46.83,13.18,30.6,78.9
85,excellent,2.38926,20.97,15.26,27.67,16.04,37.73,37.04,30.37,40.8,12.67,30.6,78.9
86,excellent,2.38926,21.35,14.95,26.2,15.91,37.98,36.6,29.82,43.22,12.82,30.6,79
87,excellent,2.38926,21.25,15.07,27.53,15.91,36.51,37.26,41.35,42.94,12.52,30.6,79.1
88,excellent,2.38926,20.97,14.71,27.25,15.97,38.24,36.82,30.37,42.94,12.57,30.6,79.1
